city,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
Garber,90.7,2.3,3.8,27969,129,124,0,0,4,0,0,1
Garden City,100,25.3,0,46250,99,99,0,0,0,0,0,0
Garden Grove,84,9.2,4.8,15938,183,177,0,0,6,0,0,0
Garnavillo,85.3,13.2,1.6,26719,824,811,2,1,0,0,0,10
Garner,96.3,26.7,0,31378,3091,3003,13,0,0,9,1,65
Garrison,89.4,9.8,5.1,31375,352,334,0,0,0,0,0,18
Garwin,93.9,12.5,5.6,32625,503,486,10,2,0,0,0,5
Geneva,95.8,6.3,12.5,21944,143,138,5,0,0,0,0,0
George,85.2,19.5,2.6,31190,1007,967,0,0,3,0,28,9
Gibson,94.1,20.6,30.3,26250,48,48,0,0,0,0,0,0
Gilbert,98.8,43.9,3.1,38839,1183,1108,11,0,17,0,4,43
Gilbertville,92.5,14.5,3.6,30909,723,703,0,0,0,0,0,20
Gillett Grove,74.2,0,10,,35,33,0,0,0,0,0,2
Gilman,91.9,8.8,8.7,31458,598,598,0,0,0,0,0,0
Gilmore City,91.7,13.6,7.5,30000,472,470,0,0,2,0,0,0
Gladbrook,95.6,18.2,6,35000,886,859,21,4,0,0,0,2
Glenwood,91,23.9,3,26369,5233,5055,68,66,0,0,0,44
Glidden,93.9,19.1,5.5,27313,1422,1400,17,5,0,0,0,0
Goldfield,89.7,10.3,2.9,30673,628,626,0,0,2,0,0,0
Goodell,89.6,1.3,3.4,22031,128,125,0,0,0,0,3,0
Goose Lake,93.6,17.2,2.2,31111,275,272,0,0,3,0,0,0
Gowrie,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61
Graettinger,88.3,11.2,2.5,29432,716,700,12,0,0,0,4,0
Graf,89.1,16.4,5.1,32083,83,83,0,0,0,0,0,0
Grafton,91.3,8.7,0,26429,355,344,6,0,0,0,0,5
Grand Junction,91.7,9.6,13.9,24643,838,838,0,0,0,0,0,0
Grand Mound,96,16.7,4.2,29107,557,549,1,0,0,0,0,7
Grand River,83.5,13.4,6.4,26875,227,227,0,0,0,0,0,0
Grandview,88.6,19.3,4,31705,449,435,8,0,3,0,3,0
Granger,93.4,38.3,1.8,43856,1461,1414,7,1,0,0,35,4
Grant,90.1,0,6.3,23750,108,108,0,0,0,0,0,0
Granville,92.2,16.4,3.8,33235,362,350,0,0,0,0,4,8
Gravity,80,3.6,2.5,27188,157,151,0,0,0,0,0,6
Gray,92.7,17.7,0,25833,160,160,0,0,0,0,0,0
Greeley,83.2,1.5,0,33056,279,268,0,0,8,0,0,3
Greene,87.8,17.2,2.7,31724,1115,1104,0,0,0,11,0,0
Greenfield,92,15.3,2.4,31750,1951,1925,1,0,20,0,5,0
Green Mountain,89,12.1,0,32083,120,120,0,0,0,0,0,0
Greenville,82.8,3.4,3,20833,93,93,0,0,0,0,0,0
Grimes,97.7,48.6,3.2,45458,10422,10132,2,35,77,0,0,176
Grinnell,93.4,31.1,4.1,16878,9112,8272,294,15,365,5,24,137
Griswold,87.3,14.2,9.4,23977,1176,1130,0,0,16,0,0,30
Grundy Center,94.5,25.6,5.4,31728,2705,2672,33,0,0,0,0,0
Gruver,88.1,10.7,0,26250,105,103,0,0,0,0,2,0
Guernsey,94,14,7,20833,72,72,0,0,0,0,0,0
Guthrie Center,87.5,13.7,3.9,28333,1650,1557,23,0,1,0,17,52
Guttenberg,91.2,13.2,4.3,26326,1956,1876,6,3,0,0,0,71
Halbur,93.6,18.6,0,30167,243,243,0,0,0,0,0,0
Hamburg,89.7,16.6,3.7,25417,1115,1085,0,5,0,0,0,25
Hamilton,78.3,2.9,10.9,30000,112,112,0,0,0,0,0,0
Hampton,83.8,18.7,2.8,29104,4326,3785,99,0,0,0,412,30
Hancock,92.9,10.3,7.9,32125,193,187,0,1,0,0,0,5
Hanlontown,94.5,17.1,8.4,30208,211,203,0,0,3,0,0,5
Hansell,92,4,0,36250,93,91,0,0,0,0,0,2
Harcourt,91.5,18.9,1.9,35714,291,273,0,14,0,0,0,4
Hardy,51.2,18.6,0,28750,90,83,7,0,0,0,0,0
Harlan,88.5,23.9,2.7,26558,5008,4590,47,6,31,0,201,133
Harper,94.9,18.6,1.5,31250,96,96,0,0,0,0,0,0
Harpers Ferry,89.1,14.7,4.5,24063,268,268,0,0,0,0,0,0
Harris,80.5,2.4,10,30156,147,134,1,0,4,0,0,8
Hartford,93.8,8.4,9.1,30294,824,758,19,0,0,0,0,47
Hartley,88.3,11.5,1.4,29615,1717,1602,12,13,21,0,24,45
Hartwick,97.2,15.3,0,36719,98,93,0,0,0,0,0,5
Harvey,85.2,0,6.7,22778,290,290,0,0,0,0,0,0
Hastings,84.9,10.5,14.1,18750,150,150,0,0,0,0,0,0
Havelock,91.1,3,4.9,24167,137,137,0,0,0,0,0,0
Haverhill,94.4,14.4,6.4,29167,169,168,0,0,1,0,0,0
Hawarden,82.4,18.5,7,28590,2538,2130,3,0,0,0,377,28
Hawkeye,90.4,9.6,3.2,21641,496,472,0,0,0,0,0,24
Hayesville,83.3,5.6,0,24063,42,42,0,0,0,0,0,0
Hayfield,100,0,,,8,8,0,0,0,0,0,0
Hazleton,90.9,3.6,8,24375,794,775,2,12,0,0,0,5
Hedrick,89,7,11.2,18194,711,707,0,0,0,0,0,4
Henderson,93.5,6.5,6.3,31667,147,147,0,0,0,0,0,0
Hepburn,86.4,0,0,29688,30,30,0,0,0,0,0,0
Hiawatha,94.2,28.4,4.5,31552,7160,5905,801,0,155,15,0,284
High Amana,100,42,0,41635,104,104,0,0,0,0,0,0
Hills,97.5,22.9,2.9,36000,730,615,42,10,0,0,0,63
Hillsboro,81.8,10.9,6.4,16154,228,227,0,0,0,0,1,0
Hinton,93.9,25.6,5.8,40885,809,799,4,0,2,0,4,0
Holiday Lake,97.3,19.8,0,36534,323,323,0,0,0,0,0,0
Holland,93.5,15.4,2.6,29732,284,281,0,0,0,0,0,3
Holstein,95.4,28.9,5.4,29471,1416,1350,0,39,9,0,8,10
Holy Cross,91.4,10.7,0.5,36364,339,333,0,0,0,0,0,6
Homestead,100,38.5,0,38906,178,178,0,0,0,0,0,0
Hopkinton,91.2,6.5,6.3,23000,561,546,3,0,0,0,0,12
Hornick,86.6,11.9,3.3,30455,298,281,0,0,0,0,0,17
Hospers,92.2,15.7,2.7,35000,756,745,0,0,3,0,0,8
Houghton,82.9,19.8,9.6,41875,152,152,0,0,0,0,0,0
Hubbard,86.6,15.2,5.4,37917,891,880,8,0,0,0,0,3
Hudson,98.3,34.5,4.7,41672,2414,2392,0,0,11,0,11,0
Hull,82.6,18.2,2.7,30000,2146,1908,3,13,4,4,153,61
Humboldt,93.8,22.4,3.6,27122,4602,4470,4,12,22,0,4,90
Humeston,93.5,9.6,1.1,30333,400,393,0,2,0,0,0,5
Hutchins,100,0,0,,13,13,0,0,0,0,0,0
Huxley,95.5,37,7.5,39750,3474,3410,19,0,45,0,0,0
Ida Grove,89.3,18.5,4.3,28048,2203,2187,1,7,0,0,1,7
Imogene,85.2,25.9,0,,35,35,0,0,0,0,0,0
Independence,91.7,19.4,2.6,28876,6005,5852,49,0,84,0,20,0
Indianola,94.9,28.4,7.5,26250,15343,14670,84,36,91,51,66,345
Inwood,88.5,13.6,1,32250,879,793,0,25,2,6,22,31
Ionia,94.4,9.3,2.7,36875,332,332,0,0,0,0,0,0
Iowa City,94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878
Iowa Falls,91.6,18.2,4.8,27740,5176,5013,79,26,21,0,12,25
Ireton,91.5,22,1.6,26481,665,601,2,4,2,0,0,56
Irvington,,,,,0,0,0,0,0,0,0,0
Irwin,95.7,20.3,5.3,17460,328,323,0,1,0,0,0,4
Jackson Junction,96.9,12.5,3.1,31667,47,47,0,0,0,0,0,0
Jacksonville,100,0,0,,32,32,0,0,0,0,0,0
Jamaica,78,6.9,7.9,22212,242,190,1,0,0,0,51,0
Janesville,95.3,14.1,8.9,37000,795,795,0,0,0,0,0,0
Jefferson,91.5,20.3,5.5,25481,4207,4082,12,9,31,5,0,68
Jesup,98.5,19.6,6.7,34763,2809,2765,0,0,0,0,7,37
Jewell Junction,94.1,27.1,0.8,40050,1230,1207,20,0,3,0,0,0
Johnston,96.6,56.7,3.8,58077,19491,17976,403,14,760,52,19,267
Joice,93.3,16.7,3.5,25625,195,192,0,0,0,1,0,2
Jolley,94.3,17.1,0,31250,41,41,0,0,0,0,0,0
Kalona,88.2,24.1,3.5,32222,2479,2444,5,0,0,0,12,18
Kamrar,92.2,3.5,7.7,19688,149,141,0,0,7,0,1,0
Kanawha,86.6,9.9,2.9,23750,722,675,0,12,25,0,0,10
Kellerton,85.9,5,3.1,23750,295,283,3,3,0,0,0,6
Kelley,95,23.1,2.5,40577,306,305,0,0,1,0,0,0
Kellogg,90.7,6.5,5.9,28693,777,760,0,0,7,0,2,8
Kensett,89,10.3,20.3,17917,345,340,5,0,0,0,0,0
Kent,83.8,0,0,,53,53,0,0,0,0,0,0
Keokuk,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520
Keomah Village,100,35.9,14.7,24375,69,69,0,0,0,0,0,0
Keosauqua,95,19.3,6.3,33229,1029,1007,13,0,0,0,0,9
Keota,90.6,14.7,10.8,24779,932,897,0,0,17,0,0,18
Keswick,96.3,9.3,1.7,33750,241,237,0,0,0,0,0,4
Keystone,92.1,14.1,5.1,31316,631,621,0,4,0,0,0,6
Kimballton,88.4,13.3,1.7,27000,339,325,0,4,0,0,0,10
Kingsley,95.4,20.8,3.7,34118,1436,1411,9,0,0,0,0,16
Kinross,70,2,2.6,31563,53,53,0,0,0,0,0,0
Kirkman,100,3.6,9.8,25625,65,63,0,0,2,0,0,0
Kirkville,89.3,6.1,7.5,28393,179,179,0,0,0,0,0,0
Kiron,91.6,11.4,0.8,20714,262,262,0,0,0,0,0,0
Klemme,97,7.2,6.8,22016,572,550,13,0,0,0,1,8
Knierim,100,17.8,21.6,21875,72,72,0,0,0,0,0,0
Knoxville,92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136
Lacona,89.3,12,8.7,30875,472,451,0,0,0,0,0,21
Ladora,89.3,4.7,2.7,22813,308,297,0,0,2,0,9,0
Lake City,87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21
Lake Mills,90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21
Lake Panorama,100,43.3,1.4,37607,1097,1089,0,8,0,0,0,0
Lake Park,94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10
Lakeside,77.3,23.1,2.5,30580,674,567,14,0,17,0,73,3
Lake View,90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0
Lakota,86.8,10.8,3.9,25278,211,204,0,0,0,0,4,3
Lambs Grove,95.8,25,1.9,41250,200,200,0,0,0,0,0,0
Lamoni,87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71
Lamont,89.3,5.4,8,25278,430,429,0,0,0,0,1,0
La Motte,92.3,5,10.5,30625,238,230,0,3,0,0,0,5
Lanesboro,87.9,9.9,1.3,28456,139,139,0,0,0,0,0,0
Lansing,96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4
La Porte City,94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9
Larchwood,90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3
Larrabee,90.7,5.3,12.4,22500,202,174,0,0,0,0,0,28
Latimer,81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5
Laurel,87.8,13.2,11.2,24063,358,313,1,0,0,0,5,39
Laurens,92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22
Lawler,89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0
Lawton,95.2,30.6,2,35294,900,878,5,0,0,0,10,7
Leando,100,0,0,,40,40,0,0,0,0,0,0
Le Claire,97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155
Ledyard,88.6,7.6,2.5,23750,100,93,0,0,0,0,0,7
Le Grand,95.7,16,2.6,31467,995,926,14,0,6,0,13,36
Lehigh,90.8,6.4,13.6,27232,406,397,0,0,0,0,0,9
Leighton,94.2,18.2,1.9,23125,193,178,0,0,0,0,0,15
Leland,92.4,11.8,2.1,28625,247,226,12,0,9,0,0,0
Le Mars,90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198
Lenox,83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0
Leon,85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14
Le Roy,100,0,,,6,4,0,0,0,0,0,2
Lester,94,13.1,0,37625,269,259,2,0,0,0,0,8
Letts,87.7,9.1,3.1,30694,410,410,0,0,0,0,0,0
Lewis,82.8,5.6,7.7,30000,553,525,0,4,0,0,0,24
Libertyville,94.1,10.6,3.7,32083,371,371,0,0,0,0,0,0
Lidderdale,96.1,5.9,8.1,33500,120,116,0,0,0,0,0,4
Lime Springs,91.4,10.4,3.8,27065,486,464,0,0,11,0,11,0
Lincoln,94,7.1,9.5,11042,121,121,0,0,0,0,0,0
Linden,83.4,10.6,11.2,27917,186,178,0,2,0,0,6,0
Lineville,84.4,9,5.6,27500,209,196,0,0,0,0,0,13
Linn Grove,95.7,21.6,0,27917,140,140,0,0,0,0,0,0
Lisbon,93.8,26.2,4.1,36716,1908,1827,31,18,0,0,13,19
Liscomb,96.9,4.6,2.4,27917,291,291,0,0,0,0,0,0
Little Cedar,100,0,0,,20,20,0,0,0,0,0,0
Little Rock,89.6,12,4.1,28214,477,468,0,0,1,0,8,0
Little Sioux,81.1,1.8,6.5,30208,133,128,0,0,0,0,3,2
Livermore,90.4,9.9,4.2,28875,508,503,0,0,0,0,0,5
Lockridge,89.9,11.7,4,28182,265,262,0,2,0,0,1,0
Logan,88.2,21.5,1.5,36786,1540,1485,7,7,0,7,0,34
Lohrville,91.1,21.9,6.5,29167,384,378,0,3,1,0,1,1
Lone Rock,83.9,11.9,9.6,20682,199,186,1,0,1,0,0,11
Lone Tree,91.7,23.2,3.5,32332,1482,1441,0,0,4,0,7,30
Long Grove,98.2,45.5,3.7,42201,952,931,8,3,4,0,0,6
Lorimor,85.6,5.1,10,24598,364,364,0,0,0,0,0,0
Lost Nation,84.3,14.2,1.9,29583,493,487,0,0,0,0,3,3
Loveland,28.6,0,0,38854,40,40,0,0,0,0,0,0
Lovilia,91.1,5.3,16.9,25893,600,600,0,0,0,0,0,0
Lowden,93,15.1,7.9,31458,853,814,0,13,0,0,4,22
Low Moor,92.3,12.9,4.5,29000,249,236,6,0,0,0,0,7
Luana,87.8,16.9,2.8,25875,338,337,0,0,0,0,0,1
Lucas,83.7,2.2,8.6,25500,185,181,4,0,0,0,0,0
Luther,97.4,14.8,1.2,35625,147,147,0,0,0,0,0,0
Lu Verne,77.4,7,5,20313,317,290,4,0,0,0,0,23
Luxemburg,82.9,10.1,6.1,35000,203,203,0,0,0,0,0,0
Luzerne,97.8,2.2,3.8,31250,138,138,0,0,0,0,0,0
Lynnville,91.5,10,0.7,32102,456,447,0,0,0,0,1,8
Lytton,90.7,10.6,1.7,25139,290,286,0,0,0,0,0,4
McCallsburg,89.9,13.5,0.6,31071,325,313,0,0,0,0,0,12
McCausland,93.3,24.2,4.1,36071,326,315,0,0,6,0,0,5
McClelland,93.7,17.1,0,41250,176,173,0,0,0,0,0,3
Macedonia,90.4,9.6,6.2,29432,223,218,0,0,0,0,5,0
McGregor,92.6,17.4,1,25219,804,775,2,21,6,0,0,0
McIntire,77.2,2,4.5,25000,120,116,0,0,0,0,0,4
Macksburg,79.5,15.7,2.9,21691,121,114,0,0,7,0,0,0
Madrid,91.5,17.4,2.6,35351,2585,2541,0,7,0,0,0,37
Magnolia,87,8.1,3.7,25000,151,151,0,0,0,0,0,0
Maharishi Vedic City,98,64,0,23333,583,234,2,0,182,0,165,0
Malcom,91.1,8.9,8.5,26181,297,283,4,0,3,0,1,6
Mallard,91.7,10.6,7.8,24063,280,274,2,0,0,0,0,4
Maloy,100,16.7,0,31250,19,19,0,0,0,0,0,0
Malvern,90.2,20.8,4.5,38750,982,973,1,4,0,0,4,0
Manchester,89.9,18.6,2.6,30320,5083,5048,24,5,0,0,0,6
Manilla,90,9.7,9.9,26375,975,858,0,0,0,0,107,10
Manly,89.9,12.4,3.5,22569,1551,1471,6,4,2,0,5,63
Manning,91.4,21.5,8.8,25907,1509,1475,2,0,16,0,0,16
Manson,94.9,15.2,1.5,29279,1825,1767,0,4,2,0,3,49
Mapleton,84.7,22.2,4.7,30000,1299,1299,0,0,0,0,0,0
Maquoketa,92.8,16.3,8.3,25028,6025,5627,25,7,32,120,0,214
Marathon,81.2,9.7,9.8,26875,270,265,0,0,0,0,0,5
Marble Rock,83.4,7.6,4.2,29423,316,312,1,1,0,0,0,2
Marcus,90.8,23,2.6,31722,1146,1100,0,5,0,0,0,41
Marengo,90.2,10.6,2.4,25875,2927,2809,30,0,0,3,40,45
Marion,96.1,34.2,3.9,38340,37198,34765,858,22,577,0,177,799
Marne,94.1,12.9,0,25000,120,116,0,0,0,0,0,4
Marquette,91.2,17.5,6,28438,423,413,0,0,3,0,0,7
Marshalltown,79.7,19.5,7.1,27243,27637,21427,460,93,1238,15,3550,854
Martelle,93.8,13.4,8.1,33929,266,263,0,0,0,0,0,3
Martensdale,93.2,9.7,7.2,31765,452,448,0,0,0,0,1,3
Martinsburg,82.4,12.2,3.9,50227,125,125,0,0,0,0,0,0
Marysville,87.8,0,0,40909,103,103,0,0,0,0,0,0
Mason City,92.5,21.4,4.9,27246,27546,25872,524,93,343,0,178,536
Masonville,91.1,2.2,0,22813,120,120,0,0,0,0,0,0
Massena,93.5,10.4,3.4,30500,311,310,0,0,0,0,0,1
Matlock,96.2,0,0,30714,71,71,0,0,0,0,0,0
Maurice,90.3,15,2.5,31307,323,304,2,2,0,0,8,7
Maxwell,96.4,20.4,1.9,36042,839,809,0,0,21,0,0,9
Maynard,90.1,26.9,4.1,31048,513,503,0,10,0,0,0,0
Maysville,94.2,18.1,0,31184,159,156,0,0,3,0,0,0
Mechanicsville,94.9,21.1,1.1,31607,1052,1047,0,0,0,0,0,5
Mediapolis,95.7,24.6,1.7,35714,1536,1476,28,0,4,0,0,28
Melbourne,94.5,14.5,3.6,31042,821,794,3,0,5,0,2,17
Melcher-Dallas,94.1,16.1,9.2,30227,1162,1156,0,0,0,0,0,6
Melrose,92.8,3.6,2.4,30250,153,148,1,0,0,0,0,4
Melvin,86,14.6,6.5,31429,235,231,0,4,0,0,0,0
Menlo,92.9,13.5,6.1,36827,410,399,0,4,0,0,0,7
Meriden,93.9,19.7,0,30313,209,207,0,0,0,0,0,2
Merrill,88.9,13.7,6.1,30259,829,766,0,0,3,16,42,2
Meservey,97.1,8.7,1,27361,177,177,0,0,0,0,0,0
Meyer,,,,,0,0,0,0,0,0,0,0
Middle Amana,91,37.9,0,50714,423,396,27,0,0,0,0,0
Middletown,96.5,18.6,4.5,25167,361,325,12,0,6,0,0,18
Miles,94,22,3.7,35250,410,404,0,3,0,0,0,3
Milford,93,17.3,3.2,28455,2991,2939,17,15,0,0,0,20
Miller,,,,,0,0,0,0,0,0,0,0
Millersburg,84.2,4.4,13.4,31181,154,154,0,0,0,0,0,0
Millerton,100,32.4,0,31829,96,96,0,0,0,0,0,0
Milo,97.2,11.9,1.2,35766,928,895,0,0,2,0,24,7
Milton,75.1,7.1,3.7,23250,604,558,28,0,0,0,0,18
Minburn,92.7,12.1,1.2,34688,366,362,0,0,0,0,0,4
Minden,92.9,24.3,2.8,41400,634,634,0,0,0,0,0,0
Mineola,100,9.8,23.5,42891,111,111,0,0,0,0,0,0
Mingo,93.2,15.7,0,31875,255,253,0,0,0,0,0,2
Missouri Valley,90,13.3,5.2,30952,2689,2676,0,0,13,0,0,0
Mitchell,83.6,4.3,0,40200,171,171,0,0,0,0,0,0
Mitchellville,90.3,9,6.1,30329,2271,2023,162,31,8,0,0,47
Modale,94.1,11.8,0.7,27292,275,271,0,4,0,0,0,0
Mona,100,0,0,21014,96,96,0,0,0,0,0,0
Mondamin,91.3,16.3,5.6,27500,322,315,0,0,0,0,6,1
Monmouth,83.3,8.8,8.8,27000,169,166,0,0,2,0,0,1
Monona,90.2,20.3,2.9,28438,1495,1470,0,0,16,0,0,9
Monroe,93.8,18.6,7.8,35107,1875,1840,0,0,7,0,0,28
Montezuma,94.3,18.7,6.4,33149,1591,1567,0,0,0,0,0,24
Monticello,92.4,12.8,3.2,31788,3809,3805,1,0,0,0,0,3
Montour,87.7,11.3,6,35536,259,259,0,0,0,0,0,0
Montrose,91.6,6.4,5.3,29643,950,909,0,0,0,0,5,36
Moorhead,96.5,12.7,1.1,20750,221,216,0,0,2,0,0,3
Moorland,81.9,14.5,2.2,23036,212,212,0,0,0,0,0,0
Moravia,91.4,13.1,5.3,30000,792,778,0,0,0,0,0,14
Morley,90.1,12.3,4.5,20250,128,98,0,0,14,0,0,16
Morning Sun,83.6,14.4,2.2,28813,906,874,4,18,0,0,0,10
Morrison,96.7,5.4,3.6,33750,122,122,0,0,0,0,0,0
Moulton,88.9,14.2,13.3,27258,653,650,0,0,0,0,0,3
Mount Auburn,90.7,3.1,1.8,23125,120,120,0,0,0,0,0,0
Mount Ayr,88.8,19.3,7.5,27357,1958,1840,8,8,21,0,57,24
Mount Pleasant,91.8,18.6,2.8,26229,8491,7315,385,39,472,0,73,207
Mount Sterling,100,71,0,26250,36,36,0,0,0,0,0,0
Mount Union,86.2,6.2,10.6,36250,93,93,0,0,0,0,0,0
Mount Vernon,99.2,65.8,1.4,16218,4487,4120,50,0,52,4,13,248
Moville,97.5,25.8,1.5,33207,1587,1572,0,5,0,0,0,10
Murray,93.2,7.6,5.3,30801,661,655,0,0,0,0,0,6
Muscatine,85.9,19.6,5.1,30046,23909,21266,732,33,301,0,731,846
Mystic,84.4,6.3,4.8,23393,363,359,0,0,0,0,0,4
Nashua,91.6,13.6,7.6,26613,1613,1607,0,0,0,0,0,6
Nemaha,84.9,5.7,4.1,18194,100,94,0,0,0,0,6,0
Neola,97.3,17.6,1.9,35929,978,963,0,0,0,0,0,15
Nevada,93.8,22.9,4.9,35297,6796,6643,32,0,37,0,6,78
New Albin,94,10.7,6,22183,623,618,0,0,0,0,0,5
Newell,93.2,22.5,1.6,31193,1070,1025,0,4,0,0,38,3
Newhall,97.8,20.4,3.2,37200,985,975,0,2,0,0,0,8
New Hampton,87.8,18.4,3.9,32611,3478,3390,32,7,31,0,12,6
New Hartford,97,16.2,2.2,30509,621,621,0,0,0,0,0,0
New Haven,72.1,9.8,0,26382,84,84,0,0,0,0,0,0
New Liberty,92.8,10.8,9.3,26705,166,158,0,0,4,0,0,4
New London,94.7,15,6,30509,1945,1860,0,0,20,0,30,35
New Market,92.9,11.4,1.4,32875,393,381,0,3,0,0,0,9
New Providence,90,24,3.6,34375,273,268,0,0,0,0,0,5
New Sharon,94.6,18.5,7.1,32287,1263,1222,0,12,3,0,0,26
Newton,91.8,15.9,5.8,27290,15090,14413,235,52,133,0,0,257
New Vienna,90.2,11.2,3,32222,381,365,0,0,1,0,0,15
New Virginia,94.6,13.8,7.8,32143,553,550,0,0,3,0,0,0
Nichols,90.6,7.5,0.5,31000,360,341,0,0,6,0,4,9
Nodaway,90,30,21.1,,91,87,0,0,0,0,0,4
Nora Springs,92.7,15,2.8,30074,1567,1520,10,0,0,0,2,35
Northboro,92.9,0,9.7,28750,50,50,0,0,0,0,0,0
North Buena Vista,79.7,8.9,11.1,31250,93,93,0,0,0,0,0,0
North English,87.9,16.1,3.6,31097,1148,1111,0,0,0,0,0,37
North Liberty,96.9,49.5,0.7,41282,16984,15271,977,0,433,0,63,240
North Washington,100,11,0,32188,161,153,8,0,0,0,0,0
Northwood,91.3,16.9,11.2,27625,1931,1838,51,2,3,0,0,37
Norwalk,96.7,36.5,5.4,42061,9944,9746,0,53,7,0,77,61
Norway,92.9,14.9,5,33250,525,519,5,0,0,0,1,0
Numa,72.7,7.3,11.8,27083,69,69,0,0,0,0,0,0
Oakland,92.6,24.1,2.8,35313,1544,1500,1,0,2,0,21,20
Oakland Acres,100,44.6,2.6,48750,116,115,0,0,1,0,0,0
