zipcode,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
50001,91.9,18.3,7.6,40132,575,566,0,0,0,0,0,9
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50005,89.7,19,4.9,31528,1007,929,0,0,0,0,4,74
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50007,97,31.7,1.3,41591,595,588,0,0,0,0,3,4
50008,94,11.6,1.3,21875,978,939,11,7,0,0,0,21
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50011,,,21.9,2978,1587,1525,20,0,0,0,0,42
50012,100,0,19.7,3175,4743,4420,122,0,120,0,47,34
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61
50026,95.2,20.3,5.3,35662,612,577,0,3,3,0,0,29
50027,82.7,8.8,14.9,25536,312,285,7,2,0,0,0,18
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50029,90.6,16.1,4.3,25268,651,647,2,1,0,0,0,1
50032,86.5,12.5,53.4,35851,104,104,0,0,0,0,0,0
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0
50034,98.1,14.7,3.8,25179,365,365,0,0,0,0,0,0
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47
50038,100,0,66.7,34250,72,72,0,0,0,0,0,0
50039,98,10.6,4.8,26250,319,313,0,0,0,0,0,6
50041,83,0,0,23750,53,53,0,0,0,0,0,0
50042,93.3,11.3,0,28125,267,267,0,0,0,0,0,0
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113
50050,93.8,16.9,3,33125,706,682,0,7,2,0,0,15
50051,91.1,2.9,23.7,26570,361,361,0,0,0,0,0,0
50052,91.4,21.6,3.3,34250,166,165,0,0,0,0,0,1
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82
50055,95.8,10.9,1,31838,917,905,3,0,2,0,0,7
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9
50057,90.6,26.8,0,20179,256,256,0,0,0,0,0,0
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2
50061,98.5,51.9,1.5,60156,1599,1562,0,0,30,0,0,7
50062,91.1,19.6,13,27981,677,670,0,0,0,0,0,7
50063,97.6,30.5,2.3,37099,2734,2727,0,2,3,0,0,2
50064,91.9,14,4.2,21058,122,122,0,0,0,0,0,0
50065,89.4,22.8,9.2,23636,620,615,0,0,0,0,1,4
50066,98,27.5,3.2,27500,299,285,0,0,14,0,0,0
50067,80,6.5,1.7,29545,225,218,0,0,0,0,0,7
50068,84.5,11.6,3.6,,272,237,0,0,0,0,0,35
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30
50070,92.2,23.1,5.9,36380,1567,1539,14,5,5,0,0,4
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10
50072,95.3,28.4,1.7,37917,2468,2374,36,0,45,0,0,13
50073,95.4,22.1,5,38088,1120,1070,16,1,0,0,3,30
50074,95,24.3,4.2,30114,432,432,0,0,0,0,0,0
50075,89.6,29.7,0.9,31458,851,771,0,0,4,0,68,8
50076,89.1,10.1,4.9,27219,1591,1565,11,0,0,0,0,15
50078,85.2,1.7,5.7,21250,137,130,0,0,0,0,0,7
50101,98.4,41.9,0,30882,78,78,0,0,0,0,0,0
50102,100,25.3,0,46250,99,99,0,0,0,0,0,0
50103,91,21.6,4.7,24063,399,391,0,0,6,0,0,2
50104,97.2,16.9,14.7,24500,105,105,0,0,0,0,0,0
50105,98.9,44.1,3,40799,1219,1144,11,0,17,0,4,43
50106,91.4,20,6.3,35000,1065,1065,0,0,0,0,0,0
50107,92.2,12,10.6,26607,1116,1109,0,0,1,0,0,6
50108,86.7,12.7,3.6,31645,385,385,0,0,0,0,0,0
50109,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50111,98.1,48.8,3,47065,12346,11647,2,35,324,0,0,338
50112,92.8,28.6,4.1,21088,11532,10679,294,15,366,5,24,149
50115,89.4,13.9,3.2,27313,2791,2679,23,0,1,0,17,71
50116,89,7.2,3.5,29659,313,313,0,0,0,0,0,0
50117,85.1,28.4,0,40625,78,78,0,0,0,0,0,0
50118,94.5,12.6,7.3,38750,1027,961,19,0,0,0,0,47
50119,93,7.7,2.8,22303,518,518,0,0,0,0,0,0
50120,96.9,19.7,3,24375,318,317,0,0,1,0,0,0
50122,89.7,21.2,3.4,37083,1462,1442,8,0,9,0,0,3
50123,95.6,13.6,1.5,31689,688,677,0,2,0,0,0,9
50124,96,36,6.7,40875,3864,3800,19,0,45,0,0,0
50125,95.3,29.7,6.3,31014,19792,19086,84,36,105,51,66,364
50126,93.3,18.5,3.8,27194,6879,6550,129,26,21,0,76,77
50127,0,0,,,18,18,0,0,0,0,0,0
50128,86.9,16.4,9.9,27434,387,335,1,0,0,0,51,0
50129,92.1,20.6,4.6,26028,4933,4807,12,9,32,5,0,68
50130,95.7,29.3,0.6,40175,1661,1638,20,0,3,0,0,0
50131,96.7,56.8,3.9,55596,19683,18181,403,14,747,52,19,267
50132,95.3,10.9,6.3,24583,235,227,0,0,7,0,1,0
50133,83.9,3.6,2.4,24167,403,391,3,3,0,0,0,6
50134,96.7,34.2,1.4,35104,701,700,0,0,1,0,0,0
50135,92.9,12.9,4.9,30699,1770,1742,0,0,7,0,13,8
50136,95.1,9.9,12.9,26250,422,407,0,0,0,0,0,15
50138,92.7,17.2,4.5,32520,11324,10973,86,58,45,0,22,140
50139,94.3,13.6,6,36270,1535,1473,2,0,0,0,0,60
50140,85.7,31.5,5.7,11190,3191,2874,162,34,16,14,20,71
50141,92.9,17.4,4.9,31016,626,581,1,0,0,0,5,39
50142,95.7,16.2,2.6,31467,988,919,14,0,6,0,13,36
50143,94.3,36.7,2.3,31574,647,625,0,0,0,0,0,22
50144,87.5,14.9,7.2,24258,2703,2663,1,0,21,4,0,14
50146,84.5,5.8,5.6,26513,385,372,0,2,0,0,6,5
50147,87.4,9,8.9,33625,380,367,0,0,0,0,0,13
50148,95.3,17.2,2,29479,397,397,0,0,0,0,0,0
50149,86.2,3.2,8.6,26856,922,906,0,5,0,0,0,11
50150,93.9,6.3,14.6,31875,928,900,0,0,0,0,28,0
50151,89.5,10.3,3.2,25625,555,535,4,0,0,0,0,16
50153,91.1,9.2,2.1,38393,836,827,0,0,0,0,1,8
50154,92.1,15.1,0.5,31298,418,406,0,0,0,0,0,12
50155,88.7,12.2,3.1,17375,292,283,0,2,7,0,0,0
50156,94.1,24.7,2.6,39421,4268,4216,0,7,0,0,8,37
50157,95.2,10.7,2.5,25250,942,928,4,0,3,0,1,6
50158,81.8,20,6.2,28421,31273,24899,460,93,1238,15,3687,881
50160,93.2,9.7,7.2,31765,452,448,0,0,0,0,1,3
50161,96.8,28.2,3.6,40822,1738,1708,0,0,21,0,0,9
50162,96.4,18.5,3,31818,1297,1270,3,0,5,0,2,17
50163,96.9,17.5,5.5,32917,723,717,0,0,0,0,0,6
50164,94.7,25.9,4.5,39313,554,543,0,4,0,0,0,7
50165,100,22.2,0,32348,113,113,0,0,0,0,0,0
50166,97.6,19.9,5.4,41104,1630,1585,0,0,2,0,24,19
50167,92.2,14.8,5.2,36053,497,493,0,0,0,0,0,4
50168,95.7,20.6,0,37917,644,642,0,0,0,0,0,2
50169,91.7,18.8,8,30664,3259,3011,162,31,8,0,0,47
50170,92.8,20.5,6.1,35527,2623,2588,0,0,7,0,0,28
50171,94,18,5.2,32981,2753,2695,29,0,5,0,0,24
50173,90.5,17.8,4.2,36250,820,587,0,214,0,0,0,19
50174,95,9,4.4,30338,1403,1382,4,0,0,0,0,17
50201,94.5,27.8,4.1,36109,8432,8178,49,0,49,0,6,150
50206,93.8,34.3,6,34375,558,553,0,0,0,0,0,5
50207,94,19.8,4.5,31555,2466,2425,0,12,3,0,0,26
50208,91.9,16.5,5.3,28074,20545,19423,507,59,162,0,35,359
50210,91.8,16.8,2.3,40401,1633,1607,0,0,3,0,0,23
50211,95.9,36,5,42163,12282,11976,12,53,64,0,105,72
50212,94.2,21.4,6.1,30108,3194,3041,0,0,0,0,9,144
50213,88.7,16.7,4.5,30221,6877,6399,23,0,72,0,228,155
50214,97.8,35.6,0,45344,874,874,0,0,0,0,0,0
50216,95.1,33.8,1.7,36886,2548,2525,0,18,5,0,0,0
50217,97.2,17.1,6.7,29063,612,606,0,0,5,0,0,1
50218,95.4,3.7,8.2,25938,155,155,0,0,0,0,0,0
50219,92.7,39.5,2.7,27224,13802,12941,122,23,270,0,158,288
50220,80.4,14.3,2.4,26177,9140,8103,171,9,104,0,558,195
50222,96.7,19.9,1.7,30208,553,529,0,0,0,0,0,24
50223,90.9,12.7,1.5,31818,542,542,0,0,0,0,0,0
50225,93.1,17.3,2.5,35931,2895,2776,0,12,41,0,4,62
50226,98.6,44.8,2.2,52459,5919,5842,0,0,13,0,5,59
50227,100,12,0,31667,32,32,0,0,0,0,0,0
50228,94.2,26.9,1.9,35200,2673,2611,9,0,3,20,2,28
50229,99.1,27.8,0.2,49038,755,741,0,0,3,0,0,11
50230,91.4,23.9,2.8,35417,1059,1034,0,0,0,0,25,0
50231,92.4,24.4,4.3,32375,188,158,0,0,0,0,20,10
50232,87.5,27.5,0,33250,474,470,0,0,0,0,0,4
50233,93.7,19,3.9,32557,1355,1295,13,2,0,0,12,33
50234,92.5,23.7,5.4,35724,588,578,2,0,0,0,6,2
50235,89,19.2,5.1,30125,384,378,2,0,2,0,0,2
50236,98,38.8,0.6,43060,1606,1575,0,4,0,0,0,27
50237,96.2,20,4.7,40100,3413,3352,5,13,1,0,0,42
50238,92.1,15,5.9,30625,1303,1252,0,27,0,0,0,24
50239,95.3,4.7,4.8,40446,159,145,3,0,0,0,0,11
50240,96.7,25.6,5.8,36437,2875,2835,20,0,3,0,0,17
50242,95,16.6,4,21641,520,505,0,2,0,0,0,13
50243,91.8,16.4,2.8,37083,187,181,3,0,0,0,0,3
50244,98.2,37.7,1.2,37135,1923,1909,0,7,0,0,0,7
50246,95.1,17.1,5.5,37100,667,612,0,0,2,0,0,53
50247,92.9,21,2.3,32117,2199,2097,28,4,8,0,62,0
50248,92.8,33.7,3.3,35898,4506,4172,51,75,13,0,11,184
50249,92.4,18.4,4.9,33190,1154,1146,0,0,4,0,0,4
50250,93.2,15.1,2.5,31412,2349,2342,2,0,0,0,0,5
50251,93.7,14.7,3.7,29091,1322,1212,27,0,0,0,0,83
50252,97.7,32.8,0.8,56898,280,279,0,0,0,0,1,0
50254,91.2,15.7,7,24250,286,278,0,0,8,0,0,0
50255,91.5,14.9,2.3,31250,75,75,0,0,0,0,0,0
50256,97,12.4,8.3,41550,528,528,0,0,0,0,0,0
50257,92.5,13.4,3.2,31569,1037,992,29,2,0,0,3,11
50258,94.2,17,2.9,31012,1023,973,0,2,3,0,12,33
50261,96.9,36.4,1.2,39846,2487,2443,0,0,15,18,0,11
50262,86.9,18,0.9,29659,442,429,0,3,0,0,0,10
50263,98.6,55.5,1.1,45445,20205,18361,261,0,789,28,112,654
50264,94.8,12.8,2.6,31719,486,474,0,0,0,0,0,12
50265,96.1,48.9,2.9,39231,31754,27754,1392,51,1642,0,243,672
50266,96.2,61.1,2.7,47232,27651,23680,909,22,2082,51,450,457
50268,87.8,7.2,5.1,26750,990,984,0,0,0,0,4,2
50271,96.2,16.7,2.8,32143,646,573,5,0,3,0,11,54
50272,93.8,2.5,2.6,37188,113,113,0,0,0,0,0,0
50273,93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28
50274,96.4,15.3,1.2,27417,343,340,0,0,0,0,0,3
50275,95.1,13.9,10.1,28438,576,570,0,0,6,0,0,0
50276,86.2,20,3.3,35750,3151,2796,98,0,0,0,7,250
50277,93.4,22.2,3.4,35686,475,472,0,0,0,0,0,3
50278,92.4,20.2,3.9,33920,801,789,0,0,5,0,4,3
50309,84.7,40.7,3.2,29915,5912,3889,821,10,821,96,90,185
50310,90.8,34.2,4.4,32349,32300,24933,3559,211,2372,41,186,998
50311,90,42.3,7.6,20477,15460,11728,1606,202,642,2,610,670
50312,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384
50313,83.9,15,8.6,26832,18300,15337,1438,30,655,0,375,465
50314,78.7,18.8,12.8,21547,12102,6087,3434,55,1149,0,792,585
50315,88.6,16.4,7.4,29366,35577,29867,2880,243,1221,0,691,675
50316,75.8,11.6,10,23177,17443,11449,3081,10,1258,14,687,944
50317,86.1,12.6,9,28282,37148,31838,2254,114,764,46,881,1251
50319,,,,,0,0,0,0,0,0,0,0
50320,87.7,20.3,5.3,29962,21603,15565,2669,77,1770,0,845,677
50321,90.9,34,5.7,30429,9007,6925,1398,33,265,0,92,294
50322,94.7,41.1,4.2,38763,31168,27267,1517,27,1027,107,175,1048
50323,99.6,66.4,3.2,62005,12678,11526,177,0,734,0,0,241
50324,94.5,47,6.4,37525,4980,4319,26,0,189,0,249,197
50325,94.9,54,3.3,45433,16937,15253,357,59,761,0,235,272
50327,91.5,34,2.1,40480,11156,10320,312,25,202,8,102,187
50401,92.7,21.5,4.9,27457,29216,27442,586,93,349,0,179,567
50420,92.5,16.4,6.6,32750,366,363,3,0,0,0,0,0
50421,92.2,13.8,3,31977,3336,3173,0,0,22,0,106,35
50423,89.1,15.9,3.8,33407,2789,2715,19,3,5,0,23,24
50424,92,26.3,3,31215,1414,1403,0,0,0,0,0,11
50426,88.2,11.8,14.3,27250,24,24,0,0,0,0,0,0
50428,93.8,25.7,2.1,30471,9424,9084,58,25,134,0,47,76
50430,89.5,22.2,4.1,30714,440,440,0,0,0,0,0,0
50431,93.4,7.3,7.2,41354,205,196,3,0,6,0,0,0
50432,92.9,3.9,0.9,31719,202,201,0,0,0,0,1,0
50433,97.1,20.4,15.8,26625,174,174,0,0,0,0,0,0
50434,93.4,12.6,1.3,30486,389,381,0,0,2,0,0,6
50435,90.6,10.9,1.8,33140,702,689,0,0,4,2,0,7
50436,92.1,21.7,7.3,28580,5984,5630,89,3,111,0,18,133
50438,96.1,27.1,0,32699,3964,3876,13,0,0,9,1,65
50439,96,20.1,1.3,27500,322,319,0,0,0,0,3,0
50440,93.6,13.3,0,32167,662,651,6,0,0,0,0,5
50441,85.4,19.6,5.2,30643,5537,4915,99,5,0,0,412,106
50444,96.7,17.5,5.3,30556,373,365,0,0,3,0,0,5
50446,95.7,19.3,3.4,27857,539,536,0,0,0,1,0,2
50447,87.8,14.4,3.8,30000,1199,1139,13,12,25,0,0,10
50448,94.2,12.3,10.4,25118,847,842,5,0,0,0,0,0
50449,95.2,7.4,5.6,21941,698,676,13,0,0,0,1,8
50450,89.8,21.3,7.1,31796,2646,2549,0,69,0,0,7,21
50451,93,14.3,1.5,26151,449,442,0,0,0,0,4,3
50452,84.4,20.4,3.4,26900,810,742,29,3,14,0,17,5
50453,96.7,17.5,1,26250,576,555,12,0,9,0,0,0
50454,82.4,0,0,36500,68,68,0,0,0,0,0,0
50455,73.3,2.1,1.2,16250,648,607,0,0,0,0,0,41
50456,89.2,12.7,5.1,22500,1888,1808,6,4,2,0,5,63
50457,98.3,11.2,0.6,27222,308,308,0,0,0,0,0,0
50458,93.1,16.7,2.7,31138,2102,2055,10,0,0,0,2,35
50459,92.2,17.5,8.6,29427,2683,2583,51,2,7,0,0,40
50460,80.8,28.5,3.3,36797,383,379,0,0,4,0,0,0
50461,93.6,17.1,3.8,30769,5684,5583,9,26,0,0,6,60
50464,88.9,15.6,4.9,31974,498,492,1,0,3,0,0,2
50465,82.6,15.2,2,16607,279,243,0,9,0,0,9,18
50466,87.7,11.5,6.4,32143,1723,1681,0,0,0,0,0,42
50467,98.2,8.9,0,31563,73,72,0,0,1,0,0,0
50468,95.4,18,4.7,31699,1481,1470,7,0,0,0,4,0
50469,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6
50470,83.2,10.2,11.9,30417,191,174,0,0,0,0,1,16
50471,90.1,11.2,4.2,21357,704,688,7,0,0,0,0,9
50472,92.7,16.5,2.1,30779,2216,2180,0,0,36,0,0,0
50473,92.7,33.8,0,42500,254,253,0,0,0,1,0,0
50475,91.3,14.8,5.8,30159,1885,1867,0,0,4,0,4,10
50476,88,8.2,0.7,31442,800,795,0,0,0,0,0,5
50477,97.9,15.3,7.5,23214,320,285,0,0,0,0,0,35
50478,91.2,13.6,4.5,28906,867,849,0,0,9,0,6,3
50479,94.3,17.9,6.5,27917,574,558,5,0,1,0,3,7
50480,93.9,12.9,2.4,28445,926,911,6,0,0,0,4,5
50482,98.2,23.9,1.6,32310,871,871,0,0,0,0,0,0
50483,92.8,15.6,1.1,29943,647,635,4,0,1,0,0,7
50484,89.7,15.3,2.7,25972,414,350,19,4,0,0,5,36
50501,90.5,22.2,7.4,23606,28015,25118,1616,99,427,0,348,407
50510,94.4,22.9,4.3,35313,1004,964,17,0,2,0,7,14
50511,95.3,24.4,0.9,33404,7184,7024,6,0,69,0,43,42
50514,90.6,12.6,3.8,30096,1427,1417,0,0,0,0,0,10
50515,95.3,22.7,8.4,27083,238,232,0,0,0,0,0,6
50516,96.6,18.8,3.1,30938,602,596,0,0,0,3,0,3
50517,97,16.8,2,28906,983,943,24,0,0,0,8,8
50518,89.3,17.6,0,32386,447,447,0,0,0,0,0,0
50519,92.7,10.9,8.3,25240,696,694,0,0,0,0,0,2
50520,95.5,4.5,4,28542,80,79,0,0,0,0,0,1
50521,84.4,5.2,9.8,11211,245,245,0,0,0,0,0,0
50522,90.3,15.4,3.2,32833,813,793,9,3,4,0,2,2
50523,88.2,9.6,5.4,30515,779,776,0,0,0,0,3,0
50524,89.7,14.5,1.9,28854,562,562,0,0,0,0,0,0
50525,88.9,21.9,7.1,29799,3455,2939,24,0,49,0,387,56
50527,95.3,31.9,0,26250,246,246,0,0,0,0,0,0
50528,96.3,16.9,0,34000,329,329,0,0,0,0,0,0
50529,90.5,9.3,2.9,31250,707,705,0,0,0,0,0,2
50530,91.8,14.6,2.3,31989,1223,1197,0,3,0,0,4,19
50531,81.9,3.9,8.8,38421,239,239,0,0,0,0,0,0
50532,94.3,11.5,2.8,30833,1000,1000,0,0,0,0,0,0
50533,88.1,16.4,9,27930,3885,3767,11,24,0,0,36,47
50535,93.1,16.9,4.6,29647,944,895,36,0,0,0,0,13
50536,93.9,24.5,1.2,28774,4557,4323,152,9,38,0,0,35
50538,95.4,14.9,6.6,31250,499,497,0,0,0,0,0,2
50539,95.5,16.7,8.3,30313,623,621,0,0,0,0,0,2
50540,89.2,15.8,3.4,27500,798,778,2,0,0,2,0,16
50541,93.9,14.6,6.3,31213,890,888,0,0,2,0,0,0
50542,92,12.7,1.9,35645,862,860,0,0,2,0,0,0
50543,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61
50544,94.1,22,1.5,36696,423,405,0,14,0,0,0,4
50545,82.8,22.5,6,28036,251,244,7,0,0,0,0,0
50546,91.9,14.8,4.2,30903,293,264,0,0,0,8,0,21
50548,94.1,24.9,3,30277,5659,5489,42,12,22,0,4,90
50551,88.9,26.5,0,35833,168,168,0,0,0,0,0,0
50554,93.1,18.3,2.1,31765,1578,1457,54,6,16,0,19,26
50556,93.5,4.5,0.9,30179,281,274,0,0,0,0,0,7
50557,89.3,9.6,8.7,29625,785,764,0,12,0,0,0,9
50558,93.4,15.4,4.4,30058,761,756,0,0,0,0,0,5
50559,90,22.5,7.1,26346,334,298,1,0,1,0,0,34
50560,84.2,10.8,4,23631,563,536,4,0,0,0,0,23
50561,92.7,21.5,1.3,25662,367,363,0,0,0,0,0,4
50562,95,14.8,11.8,24375,471,465,2,0,0,0,0,4
50563,94.8,15,6.1,30288,2546,2453,7,4,2,0,12,68
50565,89.6,12.5,11.2,24712,479,462,0,0,0,0,12,5
50566,91.3,26.1,1,27768,441,426,15,0,0,0,0,0
50567,87.3,28,4.5,22260,295,289,0,0,0,0,6,0
50568,89.2,20.7,2.2,35245,1656,1562,0,4,0,0,87,3
50569,84.2,9.4,9.7,26213,662,656,0,0,0,0,3,3
50570,86.3,5.9,0,30000,199,189,0,4,0,0,0,6
50571,91.6,11.3,0,28214,434,425,9,0,0,0,0,0
50573,100,4.7,6.1,30682,51,51,0,0,0,0,0,0
